id,version,best_price,fuel_cleaned,car_type_cleaned,transmission_cleaned
186,Prime-Line 2.0L e-SKYACTIV G,0,Gasoline,SUV,Manual
187,1.2 69CV,33900,Hybrid,Compact,Manual
188,Dynamic SE D250 MHE,0,Hybrid,SUV,Automatic
189,â€Ž,0,Hybrid,SUV,Automatic
190,R Turini,118700,Gasoline,Roadster,Automatic
191,Trek,0,Electric,SUV,Automatic
192,Pony,27500,Electric,Compact,Automatic
193,Luxury,34900,Gasoline,SUV,Automatic
194,N60BB,42900,Gasoline,Four-wheel-drive,Manual
195,Comfort,0,Electric,Compact,Automatic
196,K30,42900,Gasoline,SUV,Automatic
197,3X e4WD,122500,Electric,Four-wheel-drive,Automatic
198,770 Ultimate Coupe,149900,Gasoline,Roadster,Automatic
199,W16 Mistral,307900,Gasoline,Roadster,Automatic
200,Mulliner,0,Gasoline,Roadster,Automatic
201,Basic,199900,Hybrid,Roadster,Automatic
202,Max,0,Gasoline,SUV,Automatic
203,SUV,0,Gasoline,SUV,Automatic
204,Absolut,307900,Gasoline,Roadster,Automatic
205,SUV,0,Electric,SUV,Automatic
206,SUV,0,Gasoline,SUV,Automatic
207,SE,307900,Gasoline,SUV,Automatic
208,670G,0,Electric,Sedan,Automatic
209,Limited,0,Gasoline,Minivan,Automatic
210,Artura Spider,118700,Gasoline,Roadster,Automatic
211,EV,0,Electric,SUV,Automatic
212,Standard BlueHDi,38500,Diesel,Van,Manual
213,BlueHDi 130 Pallas,58500,Diesel,SUV,Automatic
214,LB744,0,Hybrid,CoupÃ©,Automatic
215,Electric Standard,0,Electric,SUV,Automatic
216,High Country,0,Diesel,SUV,Automatic
217,Tradesman,0,Gasoline,Van,Automatic
218,SXT,0,Gasoline,CoupÃ©,Automatic
219,Luxury,0,Electric,SUV,Automatic
220,HÃ­brido Enchufable,0,Plug-in Hybrid,SUV,Automatic
221,Comfort,0,Electric,SUV,Automatic
222,Luxury,0,Gasoline,SUV,Automatic
223,Luxury,0,Gasoline,SUV,Automatic
224,luxury,0,Electric,SUV,Automatic
225,GT,0,Electric,CoupÃ©,Automatic
227,Advanced TFSI S tronic,0,Gasoline,CoupÃ©,Automatic
228,TFSIe,0,Plug-in Hybrid,CoupÃ©,Automatic
229,Sportback Advanced,0,Diesel,SUV,Automatic
230,Sportback TDI,0,Gasoline,SUV,Automatic
231,SUV,0,Gasoline,SUV,Automatic
232,coupÃ©,0,Gasoline,CoupÃ©,Manual
233,CoupÃ© V10 performance RWD,0,Gasoline,CoupÃ©,Manual
234,Gran CoupÃ©,0,Gasoline,CoupÃ©,Automatic
235,Berlina,0,Diesel,Sedan,Automatic
236,Cabrio,0,Gasoline,Cabriolet,Automatic
237,520d,0,Gasoline,Sedan,Automatic
238,740d xDrive,0,Gasoline,Sedan,Automatic
239,M850i,0,Gasoline,CoupÃ©,Automatic
240,M35i,0,Gasoline,SUV,Automatic
241,sDrive18d,0,Gasoline,SUV,Automatic
242,M50,0,Gasoline,SUV,Automatic
243,xLine,0,Gasoline,SUV,Automatic
244,xDrive30d,0,Diesel,SUV,Automatic
245,xDrive40i M Sport,0,Gasoline,SUV,Automatic
246,M60i xDRIVE,0,Gasoline,SUV,Automatic
247,Label Red,0,Plug-in Hybrid,SUV,Automatic
248,RHT,0,Plug-in Hybrid,Roadster,Automatic
249,Assetto Fiorano,0,Plug-in Hybrid,Roadster,Automatic
250,Assetto Fiorano,0,Plug-in Hybrid,Roadster,Automatic
251,Spider,0,Gasoline,Roadster,Automatic
252,V12 725,0,Gasoline,Roadster,Automatic
253,F169,0,Gasoline,Roadster,Automatic
254,3.9 V8,0,Gasoline,Roadster,Automatic
255,F140HD,0,Gasoline,Roadster,Automatic
256,xDrive30,0,Electric,SUV,Automatic
257,eDrive20,0,Electric,SUV,Automatic
258,Impressive,0,Electric,SUV,Automatic
259,M40i SIGNATURE,0,Gasoline,Roadster,Automatic
260,xDrive40,0,Electric,SUV,Automatic
261,1.0 TSI,0,Gasoline,SUV,Automatic
262,Style,0,Gasoline,Compact,Manual
263,FR XS,0,Gasoline,Compact,Automatic
264,Style,0,Gasoline,SUV,Automatic
265,Style,0,Gasoline,SUV,Automatic
266,2.0 L4,0,Gasoline,Cabriolet,Automatic
267,S,0,Electric,Cabriolet,Automatic
268,"1,5 L3",0,Gasoline,SUV,Automatic
269,1.5 E-Hybrid,0,Hybrid,Four-wheel-drive,Automatic
270,4xe,0,Plug-in Hybrid,Four-wheel-drive,Automatic
271,4xe Summit Reserve,0,Plug-in Hybrid,SUV,Automatic
272,V8,0,Diesel,Four-wheel-drive,Automatic
273,CupÃ©,0,Gasoline,CoupÃ©,Manual
274,CupÃ© Deportivo,0,Gasoline,CoupÃ©,Automatic
275,2024,0,Gasoline,CoupÃ©,Automatic
277,707 AMR24,0,Gasoline,SUV,Automatic
278,Coupe,0,Gasoline,CoupÃ©,Automatic
279,V8 Twin Turbo,0,Gasoline,CoupÃ©,Automatic
280,AM-RB,0,Hybrid,CoupÃ©,Automatic
281,V8,0,Gasoline,CoupÃ©,Automatic
282,V12,0,Gasoline,CoupÃ©,Automatic
284,1.4 16v,0,Gasoline,Compact,Automatic
285,2024,0,Electric,Compact,Automatic
286,V16,0,Hybrid,CoupÃ©,Manual
287,Pur Sport,0,Gasoline,CoupÃ©,Automatic
288,V8,0,Gasoline,SUV,Automatic
289,Speed,0,Gasoline,CoupÃ©,Automatic
290,4.0 V8,0,Gasoline,Cabriolet,Automatic
291,ami,0,Electric,Compact,Automatic
292,Plus PureTech 130,0,Gasoline,SUV,Manual
293,Max Turno 100 S&S 6v,0,Gasoline,SUV,Manual
294,You PureTech 100 S&S 6V,0,Gasoline,SUV,Manual
295,Expression 45,0,Electric,SUV,Automatic
296,Expression TCe 67kW,0,Gasoline,SUV,Manual
297,Expression,0,Gasoline,SUV,Manual
298,Extreme Hybrid 140,0,Hybrid,SUV,Automatic
299,Electrico,0,Electric,Compact,Automatic
300,HÃ­brido MY 25 LA PRIMA 1.2 74kW,40200,Hybrid,SUV,Automatic
301,Monotrim 1.0 Hybrid 51KW,0,Hybrid,Compact,Automatic
302,Dolcevita,0,Gasoline,SUV,Automatic
303,Urban,0,Gasoline,SUV,Automatic
304,Hatchback MY24 Cross,0,Hybrid,SUV,Automatic
305,Top,0,Electric,SUV,Automatic
306,Talla M Lounge,0,Electric,Van,Automatic
307,Multijet,0,Electric,SUV,Automatic
309,KLASS,0,Gasoline,SUV,Manual
310,MAXX,0,Hybrid,SUV,Automatic
311,Klass,0,Gasoline,SUV,Manual
312,48V,0,Gasoline,SUV,Automatic
313,N,0,Electric,SUV,Automatic
314,Electric,0,Electric,SUV,Automatic
316,1.0 MPI Klass SedÃ¡n,33500,Gasoline,SUV,Manual
317,1.6 TGDI,0,Hybrid,SUV,Automatic
320,Tecno,0,Diesel,Van,Automatic
